Station_ID, Date_Time, air_temp in Fahrenheit,relative_humidity as a %, wind_speed as Miles/Hour, wind_direction as degrees - sometimes this field is blank
KMCE,11/10/2020 08:53 UTC,37.04,81.79,4.6,290,2020-11-10 08:00:00 UTC, pm1=24.78, pm2_5=25.56, pm10=25.78, uptimeMin=19475.0, rssi_dbm=-22.0, temp=60.0, humidity=31.0, pm2_5_atm=25.07, line=2020-11-10 08:00:00 UTC,24.78,25.56,25.78,19475.00,-22.00,60.00,31.00,25.07]
KMCE,11/10/2020 14:53 UTC,32,92.28,0,0,2020-11-10 14:00:00 UTC, pm1=31.73, pm2_5=38.34, pm10=41.09, uptimeMin=19835.0, rssi_dbm=-21.6, temp=53.0, humidity=36.2, pm2_5_atm=35.66, line=2020-11-10 14:00:00 UTC,31.73,38.34,41.09,19835.00,-21.60,53.00,36.20,35.66]
KMCE,11/10/2020 20:53 UTC,57.92,35.7,0,0,2020-11-10 20:00:00 UTC, pm1=16.65, pm2_5=18.64, pm10=19.47, uptimeMin=20195.0, rssi_dbm=-21.6, temp=64.0, humidity=24.0, pm2_5_atm=18.58, line=2020-11-10 20:00:00 UTC,16.65,18.64,19.47,20195.00,-21.60,64.00,24.00,18.58]
KMCE,11/11/2020 02:53 UTC,48.02,60.61,0,0,2020-11-11 02:00:00 UTC, pm1=19.03, pm2_5=23.04, pm10=24.94, uptimeMin=20555.0, rssi_dbm=-21.8, temp=64.0, humidity=27.0, pm2_5_atm=22.95, line=2020-11-11 02:00:00 UTC,19.03,23.04,24.94,20555.00,-21.80,64.00,27.00,22.95]
KMCE,11/11/2020 08:53 UTC,39.92,79.11,3.45,140,2020-11-11 08:00:00 UTC, pm1=15.88, pm2_5=19.29, pm10=20.31, uptimeMin=20915.0, rssi_dbm=-21.8, temp=61.0, humidity=32.2, pm2_5_atm=19.29, line=2020-11-11 08:00:00 UTC,15.88,19.29,20.31,20915.00,-21.80,61.00,32.20,19.29]
KMCE,11/11/2020 14:53 UTC,35.96,85.35,0,0,2020-11-11 14:00:00 UTC, pm1=30.36, pm2_5=38.41, pm10=41.91, uptimeMin=21275.0, rssi_dbm=-19.6, temp=54.0, humidity=39.0, pm2_5_atm=36.38, line=2020-11-11 14:00:00 UTC,30.36,38.41,41.91,21275.00,-19.60,54.00,39.00,36.38]
KMCE,11/11/2020 20:53 UTC,57.02,35.55,3.45,0,2020-11-11 20:00:00 UTC, pm1=24.44, pm2_5=32.95, pm10=35.69, uptimeMin=21635.0, rssi_dbm=-22.0, temp=65.4, humidity=27.0, pm2_5_atm=31.54, line=2020-11-11 20:00:00 UTC,24.44,32.95,35.69,21635.00,-22.00,65.40,27.00,31.54]
KMCE,11/12/2020 02:53 UTC,51.08,58.5,0,0,2020-11-12 02:00:00 UTC, pm1=21.93, pm2_5=29.43, pm10=33.06, uptimeMin=21995.0, rssi_dbm=-21.2, temp=65.0, humidity=34.4, pm2_5_atm=29.11, line=2020-11-12 02:00:00 UTC,21.93,29.43,33.06,21995.00,-21.20,65.00,34.40,29.11]
KMCE,11/12/2020 08:53 UTC,42.98,82.23,0,0,2020-11-12 08:00:00 UTC, pm1=21.94, pm2_5=28.39, pm10=30.06, uptimeMin=22355.0, rssi_dbm=-21.4, temp=63.0, humidity=36.0, pm2_5_atm=28.35, line=2020-11-12 08:00:00 UTC,21.94,28.39,30.06,22355.00,-21.40,63.00,36.00,28.35]
KMCE,11/12/2020 14:36 UTC,35.96,89.15,0,0,2020-11-12 14:00:00 UTC, pm1=67.43, pm2_5=77.9, pm10=81.96, uptimeMin=22715.0, rssi_dbm=-20.4, temp=56.2, humidity=43.2, pm2_5_atm=55.05, line=2020-11-12 14:00:00 UTC,67.43,77.90,81.96,22715.00,-20.40,56.20,43.20,55.05]
KMCE,11/12/2020 20:53 UTC,62.06,42.53,0,0,2020-11-12 20:00:00 UTC, pm1=28.51, pm2_5=38.27, pm10=41.78, uptimeMin=23075.0, rssi_dbm=-22.6, temp=66.0, humidity=36.4, pm2_5_atm=34.79, line=2020-11-12 20:00:00 UTC,28.51,38.27,41.78,23075.00,-22.60,66.00,36.40,34.79]
KMCE,11/13/2020 02:00 UTC,53.6,54.08,3.45,320,2020-11-13 02:00:00 UTC, pm1=21.61, pm2_5=27.82, pm10=30.65, uptimeMin=23435.0, rssi_dbm=-24.2, temp=66.2, humidity=35.4, pm2_5_atm=27.72, line=2020-11-13 02:00:00 UTC,21.61,27.82,30.65,23435.00,-24.20,66.20,35.40,27.72]
KMCE,11/13/2020 08:00 UTC,37.4,93.13,0,0,2020-11-13 08:00:00 UTC, pm1=26.13, pm2_5=34.35, pm10=37.94, uptimeMin=23795.0, rssi_dbm=-22.2, temp=63.0, humidity=36.0, pm2_5_atm=32.81, line=2020-11-13 08:00:00 UTC,26.13,34.35,37.94,23795.00,-22.20,63.00,36.00,32.81]
KMCE,11/13/2020 14:00 UTC,35.6,86.58,0,0,2020-11-13 14:00:00 UTC, pm1=45.12, pm2_5=61.48, pm10=68.37, uptimeMin=24155.0, rssi_dbm=-25.4, temp=54.6, humidity=43.0, pm2_5_atm=48.51, line=2020-11-13 14:00:00 UTC,45.12,61.48,68.37,24155.00,-25.40,54.60,43.00,48.51]
KMCE,11/13/2020 20:00 UTC,62.6,45.07,8.06,170,2020-11-13 20:00:00 UTC, pm1=33.15, pm2_5=42.66, pm10=46.14, uptimeMin=24515.0, rssi_dbm=-19.8, temp=68.0, humidity=36.8, pm2_5_atm=37.25, line=2020-11-13 20:00:00 UTC,33.15,42.66,46.14,24515.00,-19.80,68.00,36.80,37.25]
KMCE,11/14/2020 02:00 UTC,59,58.8,4.6,20,2020-11-14 02:00:00 UTC, pm1=5.91, pm2_5=6.63, pm10=7.01, uptimeMin=24875.0, rssi_dbm=-21.4, temp=69.0, humidity=38.6, pm2_5_atm=6.63, line=2020-11-14 02:00:00 UTC,5.91,6.63,7.01,24875.00,-21.40,69.00,38.60,6.63]
KMCE,11/14/2020 08:00 UTC,55.4,76.68,3.45,290,2020-11-14 08:00:00 UTC, pm1=4.56, pm2_5=4.97, pm10=5.16, uptimeMin=25235.0, rssi_dbm=-24.2, temp=66.0, humidity=47.0, pm2_5_atm=4.97, line=2020-11-14 08:00:00 UTC,4.56,4.97,5.16,25235.00,-24.20,66.00,47.00,4.97]
KMCE,11/14/2020 14:00 UTC,46.4,93.4,9.21,330,2020-11-14 14:00:00 UTC, pm1=12.51, pm2_5=15.09, pm10=16.32, uptimeMin=25595.0, rssi_dbm=-22.0, temp=61.0, humidity=48.2, pm2_5_atm=14.73, line=2020-11-14 14:00:00 UTC,12.51,15.09,16.32,25595.00,-22.00,61.00,48.20,14.73]
KMCE,11/14/2020 20:00 UTC,53.6,81.88,9.21,360,2020-11-14 20:00:00 UTC, pm1=23.92, pm2_5=30.88, pm10=32.47, uptimeMin=25955.0, rssi_dbm=-23.0, temp=64.0, humidity=56.0, pm2_5_atm=30.09, line=2020-11-14 20:00:00 UTC,23.92,30.88,32.47,25955.00,-23.00,64.00,56.00,30.09]
